iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GRD,North America,Grenada,2022-02-03,12698.0,109.0,86.857,211.0,0.0,0.143,112356.767,964.474,768.545,1867.009,0.0,1.264,0.91,,,,,,,,,,,,,,,,,,84131.0,42467.0,36778.0,,,116.0,74.44,37.58,32.54,,1026.0,24.0,0.021,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,2022-02-03,702310.0,3925.0,3000.286,16446.0,25.0,18.429,38483.018,215.07,164.4,901.157,1.37,1.01,1.29,,,,,,,,,13173.0,3633506.0,199.098,0.722,11362.0,0.623,0.266,3.8,people tested,13582801.0,6958594.0,5324780.0,1299427.0,93327.0,57569.0,74.43,38.13,29.18,7.12,3154.0,12065.0,0.066,43.98,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GGY,Europe,Guernsey,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146261.0,,,,,65.0,230.75,,,,1025.0,,,,63385.0,,,,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2022-02-03,36206.0,13.0,27.571,426.0,0.0,1.429,2682.475,0.963,2.043,31.562,0.0,0.106,0.89,,,,,,,,,,,,,,,,,,4757851.0,3531027.0,1875202.0,,8529.0,10538.0,35.25,26.16,13.89,,781.0,9690.0,0.072,62.96,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,2022-02-03,7726.0,35.0,29.571,156.0,0.0,0.286,3833.311,17.366,14.672,77.401,0.0,0.142,1.21,,,,,,,,,,,,,,,,,,435952.0,406992.0,27098.0,,,1972.0,21.63,20.19,1.34,,978.0,1633.0,0.081,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,2022-02-03,60676.0,291.0,296.0,1176.0,0.0,2.857,76773.091,368.201,374.528,1487.988,0.0,3.615,0.98,,,,,,,,,,442695.0,560.14,,2771.0,3.506,0.339,3.0,tests performed,775229.0,423439.0,312874.0,38916.0,,1640.0,98.09,53.58,39.59,4.92,2075.0,364.0,0.046,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,2022-02-03,29323.0,106.0,108.857,876.0,90.0,13.286,2540.617,9.184,9.432,75.899,7.798,1.151,0.92,,,,,,,,,,,,,,,,,,204902.0,129714.0,79410.0,,,251.0,1.78,1.12,0.69,,22.0,226.0,0.002,,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
OWID_HIC,,High income,2022-02-03,205053193.0,1952872.0,1908506.143,2087078.0,5164.0,4856.857,168777.752,1607.394,1570.877,1717.858,4.25,3.998,,,,,,,,,,,,,,,,,,,2225356066.0,947691242.0,876736870.0,436693836.0,2891401.0,3689181.0,183.17,78.0,72.16,35.94,3037.0,356351.0,0.029,,1214930230.0,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,2022-02-03,391874.0,0.0,0.0,10512.0,0.0,0.0,38942.088,0.0,0.0,1044.62,0.0,0.0,0.54,,,,,,,,,,,,,,,,,,10272600.0,5035861.0,4381943.0,855171.0,,50004.0,102.08,50.04,43.55,8.5,4969.0,130.0,0.001,41.67,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,2022-02-03,14013.0,101.0,80.429,213.0,0.0,0.0,1855.338,13.373,10.649,28.201,0.0,0.0,,,,,,,,,,,33413705.0,4424.016,,124969.0,16.546,0.0,3571.4,tests performed,11151729.0,5369657.0,4812434.0,969638.0,25731.0,24327.0,147.65,71.09,63.72,12.84,3221.0,7719.0,0.102,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,2022-02-03,1600411.0,17894.0,15703.143,41636.0,88.0,69.286,166118.34,1857.349,1629.944,4321.704,9.134,7.192,1.37,,,3463.0,359.45,,,,,45836.0,9711075.0,1007.983,4.758,39135.0,4.062,0.401,2.5,tests performed,15927853.0,6369089.0,6111632.0,3712974.0,,23898.0,165.33,66.11,63.44,38.54,2481.0,2516.0,0.026,62.96,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,2022-02-03,72136.0,1415.0,1278.286,47.0,0.0,0.143,195600.772,3836.851,3466.143,127.443,0.0,0.387,1.06,,,37.0,100.328,,,32.0,87.88,4885.0,1039741.0,2819.315,13.246,5174.0,14.03,,,tests performed,788853.0,308315.0,286246.0,243011.0,,2223.0,213.9,83.6,77.62,65.89,6028.0,127.0,0.034,37.96,368792.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,2022-02-03,41952712.0,149394.0,190000.429,500055.0,1072.0,1104.0,30107.966,107.215,136.357,358.872,0.769,0.792,0.95,,,,,,,,,1752628.0,734192614.0,526.904,1.258,1718052.0,1.233,0.111,9.0,samples tested,1681517744.0,947341172.0,721020585.0,13155987.0,4487064.0,6057863.0,120.68,67.99,51.75,0.94,4348.0,1720903.0,0.124,,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,2022-02-03,4353370.0,10185.0,9152.143,144320.0,17.0,13.286,15752.431,36.854,33.117,522.214,0.062,0.048,2.36,,,,,,,,,258145.0,47876593.0,173.239,0.934,207101.0,0.749,0.027,37.2,people tested,312709071.0,184680997.0,,,145593.0,999583.0,113.15,66.83,,,3617.0,471925.0,0.171,66.2,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
OWID_INT,,International,2022-02-03,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022-02-03,6483799.0,37395.0,27157.714,132624.0,61.0,41.571,76254.187,439.792,319.394,1559.755,0.717,0.489,2.41,,,,,,,,,106310.0,45095250.0,530.353,1.25,96973.0,1.14,0.28,3.6,tests performed,134137258.0,60992230.0,54370250.0,18774778.0,790844.0,546425.0,157.76,71.73,63.94,22.08,6426.0,56949.0,0.067,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,250188.4,30.7,-5.97,2942.397
IRQ,Asia,Iraq,2022-02-03,2233725.0,6949.0,7189.0,24455.0,25.0,17.857,54243.813,168.75,174.578,593.866,0.607,0.434,1.26,,,,,,,,,28509.0,17508647.0,425.18,0.692,26239.0,0.637,0.274,3.6,samples tested,15769592.0,9325542.0,6365752.0,,,41593.0,38.29,22.65,15.46,,1010.0,23478.0,0.057,68.52,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,2022-02-03,1199217.0,6061.0,4954.429,6228.0,92.0,13.143,240666.286,1216.359,994.285,1249.874,18.463,2.638,0.81,74.0,14.851,651.0,130.647,23.0,4.633,639.0,128.313,19953.0,10996220.0,2206.789,4.004,16955.0,3.403,0.292,3.4,tests performed,10389033.0,4022441.0,3891434.0,2713302.0,8768.0,8659.0,208.49,80.72,78.1,54.45,1738.0,1150.0,0.023,14.81,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,2022-02-03,21810.0,65.0,74.0,73.0,2.0,0.429,255356.516,761.035,866.409,854.701,23.416,5.018,,,,,,,,,,,,,,,,,,,185660.0,69237.0,66240.0,50183.0,126.0,126.0,217.38,81.06,77.56,58.76,1475.0,14.0,0.016,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,2022-02-03,3095812.0,58677.0,62298.857,9013.0,86.0,65.286,333205.468,6315.467,6705.291,970.079,9.256,7.027,1.03,351.0,37.778,3240.0,348.725,229.0,24.648,3267.0,351.631,193857.0,46075163.0,4959.118,20.865,234681.0,25.259,0.266,3.8,tests performed,17898914.0,6692301.0,6101459.0,5105154.0,10077.0,9522.0,192.65,72.03,65.67,54.95,1025.0,441.0,0.005,56.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
